Kategori,Judul Berita,Isi Berita
FINANCE,Kemenhub Ungkap Detik-detik Kapal Virgo Hilang Kontak di Laut Jawa,"Kementerian Perhubungan buka suara soal insiden kapal penumpang KMP Virgo Transport 8 yang hilang kontak di perairan Laut Jawa. Kapal Roro Penumpang KMP Virgo Transport 8 dengan bendera Indonesia berukuran 8.540 GT yang dinakhodai oleh Arief Yunianto serta dioperasikan oleh PT Virgo Karya Shipping.
Berdasarkan data manifes, kapal membawa total 241 orang di atas kapal. Direktorat Jenderal Perhubungan Laut Kementerian Perhubungan memaparkan ratusan orang itu terdiri dari 30 kru, 27 mitra kerja kapal, 59 penumpang dewasa, 1 anak-anak, serta 124 sopir dan kernet. Selain itu ada juga 89 unit muatan kendaraan dalam kapal.
Kepala Kantor KSOP Kelas I Banjarmasin Heri Purwanto menjelaskan kronologi awal kejadian. Mulanya kapal tersebut bertolak dari Pelabuhan Surabaya pada 12 September 2026 pukul 06.52 LT dengan tujuan Pelabuhan Banjarmasin. Lebih lanjut kapal tersebut mengalami kondisi listing atau miring ke atas dan kehilangan kontak di sekitar perairan Masalembo, Laut Jawa pada tanggal 13 September 2026 sekitar pukul 02.00 LT.
""Kami telah merespons cepat laporan insiden yang dialami KMP Virgo Transport 8 di wilayah perairan Masalembo. Fokus dan prioritas utama kami saat ini adalah keselamatan seluruh pihak yang berada di atas kapal melalui pengerahan operasi penyelamatan yang terkoordinasi,"" ujar Heri Purwanto dalam keterangan resmi, Minggu (13/9/2026).
Kantor KSOP Kelas I Banjarmasin juga langsung melakukan langkah-langkah penanganan darurat. Salah satunya dengan mendirikan posko di Terminal Penumpang Bandarmasih Pelabuhan Trisakti Banjarmasin.
Posko ini bertujuan untuk penanganan serta membangun koordinasi intensif dengan pihak terkait seperti Basarnas, BUP PT. Pelindo, Kantor Distrik Navigasi Banjarmasin (VTS), Kepanduan PT. Pelindo III Banjarmasin, pihak keagenan kapal serta pihak keluarga.
Sementara itu, upaya evakuasi dan penanggulangan di lapangan langsung dilaksanakan oleh unsur SAR gabungan bersama BASARNAS Banjarmasin, serta dibantu oleh kapal-kapal yang berada di sekitar lokasi kejadian, yakni KM. Hai Da, MT. Mau Ha, dan TB. TCP. Selain itu, Distrik Navigasi Tipe A Kelas II Banjarmasin turut mengerahkan Kapal Negara Kenavigasian KN Kunyit untuk membantu proses evakuasi.
""Dari proses penanganan awal tersebut, sebanyak 143 orang penumpang telah berhasil dievakuasi dalam keadaan selamat maupun mendapatkan perawatan medis, sementara proses pencarian dan pendataan lebih lanjut terus berlangsung,"" ungkap Heri.
Terkait dugaan sementara penyebab kecelakaan baik dari faktor alam, faktor teknis, maupun faktor manusia serta dampak terhadap muatan, potensi pencemaran lingkungan, dan harta benda lainnya, pihak KSOP menyatakan bahwa hal tersebut masih dalam tahap investigasi serta konfirmasi lanjutan.
""KSOP Utama Tanjung Perak dan KSOP Kelas I Banjarmasin berkomitmen untuk terus memantau perkembangan penanganan insiden ini secara berkala dan akan menyampaikan pembaruan informasi resmi kepada masyarakat seiring dengan progress di lapangan,"" tutup Heri.
(acd/acd)"
SPORT,Men's World Tennis Championship: Rafalentino/Ethan Gagal Juara,"Pupus sudah harapan Indonesia berjaya di Men's World Tennis Championship 2026. Ini setelah Rafalentino Ali Da Costa/Ethan David Zapp kalah di final.
Pada pertandingan puncak ganda putra Seri IV ITF World Tennis Tour M-1 di Lapangan A, Bali Beach Country, Nusa Dua, Sabtu (5/9/2026), Rafalentino/Ethan harus mengakui ketangguhan Alexander Chang/Pablo Perez Ramos.
Di set pertama, Rafalentino/Ethan mengalami kesulitan mengimbangi permainan Alexander/Pablo. Petenis Amerika Serikat/Spanyol itu langsung menyerang lewat servis voli sebelum menang 6-3.
Memasuki set kedua, ganda tuan rumah yang sempat menyingkirkan unggulan pertma Isaac Becroft/Reece Falck bisa bangkit untu memberikan perlawanan hingga game ke-10 untuk membuat skor sama kuat 5-5.
Namun, keunggulan pengalaman dari Alexander/Pablo dalam hal mematahkan servis lawan membuat mereka menang 7-5 dalam tempo 1 jam 11 menit untuk keluar sebagai juara.
Meski menang, Pablo memuji permainan dari Rafalentino dan Ethan yang nyaris membuatnya kesulitan diset kedua.
""Kami bersyukur bisa menang karena lawan (Rafalentino dan Ethan) tampil luar biasa sehingga menyulitkan kami,"" ujar Pablo dalam rilis kepada detikSport.
Sementara Alexander Kekompakkan dan komunikasi yang baik dengan partnernya membuahkan hasil gelar juara untuk yang kedua kali pada ajang M-15. Pada seri pertama, dia bersama Tanapat Nirundorn jadi juara di sektor yang sama.
Rafalentino/Ethan memang gagal juara, tapi pencapaian mereka diapresiasi Ketua Umum PP. Pelti periode 2018-2022 Rildo Ananda Anwar.
""Hadirnya talenta-talenta petenis muda merah putih seperti Rafalentino Ali Da Costa dan Ethan David Zapp di sektor putra serta Janice Tjen merupakan sebuah karunia sekaligus tantangan tersendiri dalam pembinaan tenis di Indonesia, agar prestasi mereka terus meningkat lewat jalur kompetisi, serta berjalannya proses regenerasi dengan baik,"" ujar Rildo.
Sebagai runner-up, Rafalentino/Ethan mendapat hadiah 540 dolar AS serta trofi. Sedangkan Alexander/Pablo sebagai juara berhak atas 930 dolar AS serta tambahan 15 poin ATP.
Sementara itu pada sektor tunggal putra yang hari ini mempertandingkan babak semifinal, petenis asal India Karan Singh berhasil mempertahankan performa impresifnya dengan memastikan diri melangkah ke partai puncak.
Singh mengalahkan wakil Jepang Ryotaro Taguchi dua set langsung 6-3 dan 6-3. Karang akan bertemu Isaac Becroft dari Australia yang mengalahkan Leo Borg dalam waktu 1 jam 59 menit dengan skor 2-6, 6-4 dan 6-2."
SPORT,"Hasil China Masters 2026: Sabar/Reza Menang, Melaju ke Perempatfinal","Sabar Karyaman Gutaman/Mohammad Reza Pahlevi Isfahani melaju ke perempatfinal China Masters 2026. Sabar/Reza mengalahkan Daniel Ludgaard/Mads Vestergaard.
Babak 16 besar BWF Super 750 China Masters mempertemukan Sabar/Reza dengan Lundgaard/Vestergaard dari Denmark. Pertandingan digelar di Court 1 Shenzen Arena, Kamis (3/9/2026) malam WIB.
Sabar/Reza merebut 3 poin pertama, tapi Lundgaard/Vestergaard mampu menyamakan kedudukan. Sabar/Reza selanjutnya memimpin 3 angka lagi hingga mencapai interval dengan keunggulan 11-9.
Pasangan Indonesia sempat unggul 5 angka 14-9, namun Lundgaard/Vestergaard mampu merebut 4 angka beruntun dan menyamakan kedudukan 14-14. Sabar/Rerza kembali lepas dari tekanan dan menjauh 17-14.
Sabar/Reza mencapai game point dengan keunggulan 20-15. Sabar/Reza menutup gim pertama dengan keunggulan 21-15.
Permainan positif ditunjukkan Sabar/Reza memasuki gim kedua. Sabar/Reza mampi menjaga keunggulan 2-3 angka dari Lundgaard/Vestergaard dan unggul 11-8 di interval.
Sabar/Reza menjauhkan kejaran menjadi 5 poin 18-13 dan 19-14 dan mencapai match point 20-15. Bola out dari Lundgaard/Vestergaard memastikan kemenangan Sabar/Reza 21-15.
Hasil ini mengantarkan Sabar/Reza lolos ke perempatfinal China Masters 2026. Sabar/Reza jadi satu-satunya wakil Indonesia yang tersisa setelah Jonathan Christie, Leo Rolly Carnando/Daniel Marthin, dan Ali Faathir Rayhan/Devin Artha Wahyudi tersingkir.
Sabar/Reza melaju ke perempatfinal usai menang dengan skor kembar atas ganda Denmark.
— BADMINTON INDONESIA (@INABadminton) September 3, 2026
Nice work SabRez!#BadmintonIndonesia #ChinaMasters2026 pic.twitter.com/ivEMnQNRiZ"
FINANCE,"Berjas Lengkap, Suahasil Nazara Merapat ke Istana","Wakil Menteri Keuangan Suahasil Nazara siang ini dipanggil ke Istana Kepresidenan, Jakarta Pusat. Kabarnya, Suahasil akan dilantik mengisi jabatan baru.
Suahasil tiba sekitar pukul 14.45 WIB, Senin (14/9/2026), dia berjas lengkap dan berdasi biru. Ketika ditanya apakah dirinya akan dilantik sebagai pejabat baru, dia enggan bicara.
""Saya ditelepon ke Istana,"" katanya singkat.
Selain itu, Menteri Koordinator Bidang PMK Pratikno juga hadir ke Istana dengan jas lengkap. Pratikno membenarkan ada agenda pelantikan, hanya saja tak memastikan jelas siapa yang mau dilantik
""Ada undangan, terkait pelantikan katanya. Nggak tahu siapa nanti kita tunggu,"" ujarnya singkat.
(hal/ara)"
SPORT,Nova Widianto Mulai Tangani Ganda Campuran Pelatnas PBSI,"Nova Widianto mulai menangani tim ganda campuran Pelatnas PBSI pada hari Selasa (8/9/2026). Kehadiran Nova diumumkan PBSI melalui laman media sosial federasi bulutangkis Indonesia tersebut.
""He is here. Good luck, Coach Nova,"" tulis PBSI.
Nova sebelumnya telah resmi ditunjuk sebagai Kepala Pelatih Ganda Campuran Pelatnas pada 5 Agustus lalu. Ia kembali dipercaya menangani sektor tersebut untuk kali kedua setelah sebelumnya menduduki posisi yang sama pada 2021.
Kepala Bidang Pembinaan dan Prestasi Pelatnas PBSI, Eng Hian, mengatakan pengalaman dan rekam jejak Nova menjadi alasan kembalinya sang mantan pemain ke Pelatnas.
""Nova merupakan sosok yang memiliki pengalaman dan pemahaman yang sangat baik di sektor ganda, baik sebagai atlet maupun pelatih,"" kata Eng Hian.
Ganda campuran Indonesia memang tengah berupaya kembali bersaing di level tertinggi. PBSI berharap kehadiran Nova bisa memberikan energi baru bagi sektor tersebut.
""Kami berharap kehadirannya dapat membawa energi baru, meningkatkan kualitas pembinaan, memperkuat daya saing pasangan-pasangan ganda campuran Indonesia, serta mengantarkan mereka meraih prestasi terbaik di berbagai turnamen internasional,"" ujar Eng Hian kala itu.
Kali Kedua Nova Tangani Ganda Campuran Pelatnas
Kembalinya Nova ke lapangan Pelatnas menjadi periode keduanya menangani sektor ganda campuran. Sebelumnya, Nova menjadi asisten pelatih yang mendampingi Richard Mainaky sebagai kepala pelatih sejak 2013. Setelah Richard mengundurkan diri pada 2021, Nova kemudian dipercaya menjadi pelatih kepala ganda campuran.
Kini, ia kembali mendapat tugas untuk membangun sektor tersebut. Selama masih aktif sebagai atlet, Nova merupakan salah satu pemain ganda campuran terbaik yang dimiliki Indonesia.
Bersama Liliyana Natsir, Nova meraih gelar juara dunia pada 2005 dan 2007. Keduanya juga mempersembahkan medali perak Olimpiade Beijing 2008 dari nomor ganda campuran.
Setelah pensiun sebagai atlet, Nova melanjutkan kiprahnya sebagai pelatih dan turut berkontribusi melahirkan pasangan-pasangan berprestasi di level dunia. Pengalamannya juga berlanjut ketika menangani ganda campuran Malaysia. Nova mencetak sejarah dengan membawa Chen Tang Jie/Toh Ee Wei menjadi juara dunia pada 2025.
Pencapaian tersebut menjadi gelar juara dunia pertama bagi pasangan ganda campuran Malaysia tersebut. Kini, Nova kembali ke Pelatnas PBSI dengan tugas membenahi dan meningkatkan daya saing ganda campuran Indonesia."
SPORT,Tebakannya Jitu! Ini 3 Pemenang yang Berhasil Kenali Motor Legendaris,"Kalau Sal Priadi punya lagu Foto Kita Blur, kali ini bukan cuma foto yang dibuat blur. Dalam kuis Bold Riders bersama detikcom, para detikers justru ditantang menebak motor yang diblur sekaligus rider legendaris yang pernah mengendarainya.
Kuis Tebak Jenis Motor dan Rider Legendarisnya berlangsung pada 26-28 Agustus 2026. Para penggemar MotoGP dan otomotif pun diajak menguji ingatan mereka untuk mengenali motor dan sosok rider yang pernah menggunakannya di lintasan.
Jawaban yang masuk pun cukup beragam. Ada detikers yang langsung yakin dengan tebakannya, sementara yang lain mungkin harus mengingat kembali motor dan rider yang pernah mereka lihat berlaga di lintasan.
Setelah seluruh jawaban diperiksa sesuai ketentuan, akhirnya terpilih tiga detikers yang berhasil memberikan jawaban dengan tepat.
Berikut nama-nama pemenangnya:
@callmeverdi
@rizaldi773_
@ralkausarr
Masing-masing pemenang mendapatkan saldo e-wallet senilai Rp 250 ribu.
Selamat kepada para pemenang! Tim detikcom akan menghubungi masing-masing pemenang untuk proses verifikasi data dan informasi lebih lanjut mengenai hadiah.
Buat yang belum berhasil, jangan berkecil hati. Masih ada kuis dan aktivitas seru lainnya dari Bold Riders yang bisa kamu ikuti.
Jangan lupa follow Instagram @boldriders untuk mendapatkan update seputar MotoGP, konten otomotif, dan informasi event motor lainnya."
SPORT,IHR 2026 Perluas Olahraga Pacuan Kuda Indonesia,"Pacuan kuda Indonesia mulai diarahkan menuju panggung dunia melalui Indonesia's Horse Racing (IHR) 2026. Hal ini dikembangkan oleh Sarga.co dengan konsep olahraga, hiburan, pariwisata, dan ekonomi kreatif.
IHR dikembangkan bukan hanya sebagai kompetisi untuk menentukan kuda tercepat. Platform tersebut dirancang menjadi bagian dari ekosistem yang menghubungkan olahraga berkuda dengan potensi daerah di berbagai wilayah Indonesia.
Sarga.co hadir sebagai promotor pacuan kuda profesional pertama dan satu-satunya di Indonesia melalui IP Indonesia's Horse Racing. Kehadiran IHR menjadi bagian dari upaya mengubah cara pacuan kuda dikelola, dikemas, dan diperkenalkan kepada masyarakat.
Olahraga yang memiliki sejarah panjang di Indonesia tersebut kini mendapatkan pendekatan baru agar semakin dekat dengan generasi masa kini. Pada 2025, IHR menggelar sembilan event dengan tema ""The Race of Rising Stars"".
Memasuki 2026, Sarga.co membawa ambisi lebih besar melalui tema ""Race to the World Stage"". Tema tersebut menjadi landasan pengembangan IHR menuju kompetisi yang lebih profesional sekaligus memiliki jangkauan penonton yang lebih luas.
Bersama PP Persatuan Olahraga Berkuda Seluruh Indonesia (PORDASI), Sarga.co menghadirkan delapan kejuaraan dalam kalender IHR 2026. Rangkaian kompetisi tersebut digelar di sejumlah wilayah dengan karakter dan tradisi berkuda yang berbeda.
Agenda IHR 2026 dibuka melalui IHR Jateng Derby 2026 di Gelanggang Pacuan Kuda Tegalwaton, Kabupaten Semarang, pada 15 Februari. Setelah itu, kompetisi berlanjut lewat IHR Triple Crown Serie 1 & Pertiwi Cup di Stadion Sultan Agung, Bantul, pada 4 April.
Pada 10 Mei, giliran IHR Triple Crown Serie 2 & Piala Raja Mangkunegaran digelar di Gelanggang Pacuan Kuda Tegalwaton. Rangkaian tersebut kemudian berlanjut pada Juni melalui IHR Piala Paku Alam di Stadion Sultan Agung, Bantul.
Agenda utama lainnya hadir lewat IHR Indonesia Derby 2026 di Gelanggang Pacuan Kuda Legokjawa, Pangandaran, Jawa Barat, pada 26 Juli. Memasuki Agustus, kompetisi dilanjutkan melalui IHR Merdeka Cup 2026 di Sumatera Barat.
Rangkaian IHR 2026 selanjutnya dijadwalkan menuju Kejurnas Seri II di Sulawesi Utara pada Oktober. Kompetisi kemudian ditutup dengan Piala Hamengku Buwono X di DI Yogyakarta pada November 2026.
""Kami sangat bersyukur dan mengapresiasi antusiasme masyarakat terhadap penyelenggaraan IHR sepanjang 2026. Bagi kami, IHR bukan hanya mengenai siapa yang menjadi juara di lintasan, melainkan juga bagian dari perjalanan untuk membangun pacuan kuda Indonesia menjadi semakin profesional dan modern, sekaligus tetap menghargai tradisi dan kearifan lokal,"" kata Direktur Komersial Sarga.co, Diana Airin.
Melalui Indonesia's Horse Racing, tradisi dipadukan dengan pendekatan industri modern. Kompetisi dikembangkan secara profesional, produksi siaran ditingkatkan, pengalaman penonton diperluas, dan peluang komersial dibuka lebih jauh."
SPORT,"Kolaborasi dengan NPC, Kemenpora Genjot Pembinaan Atlet Disabilitas","Kementerian Pemuda dan Olahraga (Kemenpora) menegaskan komitmennya untuk terus mendukung pembinaan dan peningkatan prestasi atlet disabilitas Indonesia.
Dukungan tersebut dilakukan melalui kerja sama dan koordinasi yang berkelanjutan dengan Komite Paralimpiade Nasional Indonesia (NPC Indonesia), baik dalam persiapan multi-event maupun keikutsertaan pada berbagai kejuaraan internasional.
Deputi Bidang Peningkatan Prestasi Olahraga Kemenpora, Surono, mengatakan bahwa pemerintah selalu memberikan perhatian serius terhadap atlet-atlet disabilitas sebagai bagian penting dari kekuatan olahraga nasional.
""Kemenpora selalu bangga dan memberikan dukungan terhadap atlet-atlet disabilitas Indonesia. Kami juga memiliki kerja sama yang sangat baik dengan NPC Indonesia dalam upaya meningkatkan prestasi olahraga disabilitas nasional,"" ujar Surono dalam keterangan kepada media.
Salah satu bukti keberhasilan sinergi itu pencapaian Kontingen Indonesia pada ASEAN Para Games 2025 di Thailand. Indonesia berhasil meraih 135 medali emas, 143 medali perak, dan 114 medali perunggu, sekaligus menempati peringkat kedua klasemen akhiri, melebih target awal sebanyak 82 medali emas.
""Ini merupakan prestasi yang sangat membanggakan. Target awal kita adalah 82 emas, tetapi atlet-atlet kita mampu memberikan jauh lebih dari yang ditargetkan. Ini menunjukkan bahwa pembinaan yang dilakukan secara bersama-sama antara pemerintah, NPC Indonesia, pelatih, dan seluruh ekosistem olahraga disabilitas memberikan hasil yang nyata,"" sambung Surono.
Surono menegaskan kerja sama Kemenpora dengan NPC Indonesia tidak hanya berlangsung pada level nasional, tetapi juga mencakup koordinasi di daerah dalam mendukung partisipasi Indonesia pada berbagai agenda olahraga disabilitas internasional.
""Kerja sama ini mencakup berbagai agenda, baik ASEAN Para Games, Asian Para Games, maupun agenda olahraga internasional lainnya. Termasuk di dalamnya adalah keikutsertaan atlet tunarungu dalam Deaflympics. Prinsipnya, seluruh program harus kita persiapkan secara terencana agar partisipasi Indonesia memberikan dampak maksimal terhadap prestasi nasional,"" jelasnya.
Khusus terkait pembinaan atlet tunarungu, Surono menjelaskan bahwa pemerintah perlu memastikan seluruh proses pembinaan dan keikutsertaan dalam kompetisi internasional berjalan melalui organisasi yang memiliki legitimasi sesuai dengan ketentuan federasi internasional.
""Di hadapan NPC Indonesia dan ICSD( International Committee of Sports for the Deaf) khusus untuk atlet tuna rungu hanya organisasi Perkumpulan Atlet Tunarungu Indonesia (PATRIN) yang diakui secara internasional dan karenanya hanya PATRIN yang diakui oleh Pemerintah. Karena itu, dalam konteks tata kelola pemerintahan, dukungan dan fasilitasi harus diberikan melalui organisasi yang memiliki legitimasi sesuai dengan ketentuan organisasi olahraga internasional,"" tegas Surono.
Dia menambahkan, setiap kejuaraan internasional yang diikuti atlet bukan sekadar ajang kompetisi, tetapi juga harus ditempatkan sebagai bagian dari strategi pembinaan jangka panjang.
""Setiap kejuaraan dunia yang diikuti pada prinsipnya merupakan bagian dari proses try out dan pengumpulan poin serta peringkat yang diperlukan untuk mengejar kualifikasi menuju Paralimpiade. Karena itu, keikutsertaan dalam sebuah kejuaraan harus dilihat dalam konteks yang lebih besar, yaitu bagaimana kompetisi tersebut berkontribusi terhadap target prestasi Indonesia,"" ujarnya.
Atas dasar itu, Surono menekankan bahwa penentuan kejuaraan single event yang akan diikuti atlet harus melalui konsolidasi dan perencanaan bersama antara NPC Indonesia dan Kemenpora.
Surono juga menegaskan bahwa tata kelola pembinaan olahraga disabilitas harus berjalan berdasarkan aturan dan regulasi organisasi olahraga internasional yang relevan.
""Dengan koordinasi yang baik serta kepatuhan terhadap Statuta International Paralympic Committee atau IPC dan, khusus untuk olahraga tunarungu, ketentuan atau bylaws ICSD, maka pembinaan, penganggaran, dan dukungan pemerintah dapat diarahkan secara lebih efektif, efisien, transparan, dan tepat sasaran,"" tutur Surono.
Dia memastikan pemerintah tidak hanya berbicara mengenai dukungan saat atlet mengikuti kompetisi, tetapi juga membangun ekosistem pembinaan yang berkelanjutan.
""Komitmen Kemenpora bersama NPC Indonesia sangat konsisten. Dukungan pemerintah diberikan mulai dari proses pembinaan, fasilitas latihan, pemusatan latihan, keberangkatan ke kompetisi internasional, sampai penghargaan atas prestasi atlet,"" katanya.
Salah satu bentuk dukungan tersebut adalah pembangunan dan pengembangan Paralympic Training Center Indonesia di Karanganyar, Jawa Tengah, yang menjadi fasilitas penting dalam pembinaan atlet-atlet paralimpiade Indonesia.
Kemenpora juga terus mendorong agar fasilitas tersebut terjaga kualitas dan keberlanjutannya, sehingga disebut sebagai fasilitas terbaik di Asia Tenggara.
Selain dukungan terhadap fasilitas dan pembinaan, pemerintah juga memberikan dukungan pembiayaan untuk keikutsertaan kontingen Indonesia pada ajang internasional, termasuk ASEAN Para Games 2025 dan Asian Para Games 2026.
""Kita juga memberikan dukungan pembiayaan untuk keberangkatan dan keikutsertaan atlet pada multi-event internasional. Pada ASEAN Para Games 2025, pemerintah juga memberikan bonus sebagai bentuk penghargaan atas prestasi atlet. Bonus tersebut disalurkan langsung kepada para penerima , melalui kerja sama dengan Bank Rakyat Indonesia, dan total penghargaan bagi peraih medali mencapai lebih dari Rp350 miliar,"" kata Surono."
FINANCE,"Pedagang Pasar Nangka Bungur Ramai-ramai Tutup Kios, Apa yang Terjadi?","Lapak-lapak kios di dalam bangunan Pasar Nangka Bungur, Kemayoran, Jakarta Pusat, lengang dan mati suri. Banyak pedagang memilih tutup kios mereka dan beralih menggelar dagangan di pinggir jalan depan pasar demi menyambung hidup.
Berdasarkan pantauan detikcom di lokasi, Senin (14/9/2026), Pasar Nangka Bungur berada tepat di Jl. Kalibaru Timur dekat persimpangan dengan Jl. Kalibaru Timur V. Di dekat jalan, pengunjung bisa dengan mudah melihat deretan lapak-lapak pedagang.
Di kanan-kiri ini, terdapat berbagai jenis lapak dagangan mulai dari sayuran, daging ayam dan sapi, bumbu masak, buah, hingga keperluan sehari-hari. Singkatnya, hampir semua jenis barang dagangan pasar ada di pinggir jalan ini.
Meski matahari sudah sampai puncaknya, pengunjung datang silih berganti dengan motor dan berhenti di depan lapak-lapak pinggir jalan tersebut. Mereka membeli berbagai produk, kemudian langsung meninggalkan area depan pasar.
Kondisi ini sangat jauh berbeda dengan kawasan di dalam bangunan Pasar Nangka Bungur. Di depan bangunan pasar, berdiri tiga bangunan kecil berbahan beton tanpa cat menutup pintu masuk utama pasar.
Bangunan ini adalah pasar penampungan sementara untuk pedagang pasar lain yang sedang di renovasi. Namun, dari sekian lapak yang ada, hanya ada dua kios yang buka dan sisanya tutup permanen.
Jauh berbeda dengan kondisi lapak yang ada di jalan depan, lorong-lorong sekitar pasar penampungan ini sangat sepi dan hampir tidak ada orang yang melintas. Menunjukkan bagaimana para pengunjung pasar hanya berbelanja di lapak-lapak pinggir jalan dan enggan masuk ke dalam bangunan pasar yang sesungguhnya.
Kondisi ini semakin parah saat memasuki bangunan utama pasar. Lorong-lorong di dalam bangunan tampak sangat lengang dengan mayoritas kios yang mengapit jalan setapak berlantai keramik putih itu tertutup rapat oleh rolling door besi.
Secara keseluruhan, di dalam bangunan pasar dua tingkat ini hanya terlihat kurang dari 20 lapak buka. Di lantai dasar terlihat ada 1 lapak sayuran, 4 lapak sembako, 1 lapak sepatu dan tumbler, 1 lapak produk kecantikan, dan 2 lapak perabotan rumah tangga.
Kemudian sisanya di lantai dua banyak diisi oleh sekitar 6 toko emas yang sebagian besar menempati lebih dari satu kios, dan beberapa lapak pakaian dan tas. Sedangkan area pasar basah yang biasanya diisi oleh pedagang sapi semuanya tutup.
""Yang los-los daging segala macam, daging, ayam, ikan semuanya di luar, semuanya di luar,"" kata Narita, seorang pedagang produk kecantikan yang masih membuka kios dalam bangunan Pasar Nangka Bungur.
Kondisi tersebut menjadi gambaran sulitnya pedagang resmi dalam bangunan Pasar Nangka Bungur untuk bertahan di tengah persaingan dengan pedagang yang berjualan di sisi jalan umum.
""Orang jualan di dalam sepi, kasihan dah kita. Sebagian dari dalam ada yang punya lapak di depan terus pindah ke depan. Sisanya ya tutup saja keluar dari pasar,"" ujarnya.
(igo/fdl)"
SPORT,"Marc Marquez Makin Dekat, Jorge Martin Akan Lawan!","Jorge Martin tak gentar melihat Marc Marquez semakin mendekat di klasemen MotoGP 2026. Pebalap Aprilia itu menegaskan tetap siap melawan sang juara bertahan.
Marc meraih kemenangan Sprint dan MotoGP Aragon. Martin hanya finis kelima sehingga keunggulannya di puncak klasemen terpangkas menjadi 19 poin. Marco Bezzecchi juga masih mengintai, tertinggal 24 poin dari Martin.
Martin mengakui Aprilia kesulitan di Aragon. Namun, ia tidak mau menjadikan absennya pada balapan tahun lalu karena cedera sebagai alasan.
""Itu bukan alasan karena ada beberapa balapan yang tidak saya ikuti tahun lalu, dan saya tetap cepat,"" kata Martin kepada MotoGP.com.
""Jadi, ya, saya memang kesulitan. Kami mencoba menjaga semuanya tetap sederhana, tidak terlalu banyak mengubah motor. Tapi pada akhirnya, hari ini saya membutuhkan bantuan.""
Martin menilai hasil naik-turun merupakan bagian dari persaingan satu musim penuh. Kini Martin mengincar kebangkitan di Misano. Ia menyukai karakter sirkuit tersebut dan yakin Aprilia bisa kembali kompetitif.
""Menurut saya, ini bagian dari kejuaraan. Ada beberapa balapan di mana kami (Aprilia) lebih baik. Ada juga beberapa balapan di mana kami lebih buruk,"" katanya.
""Misano adalah trek yang sangat saya sukai, di mana kami memiliki banyak grip, dan saya pikir dengan Aprilia serta gaya saya, kami bisa bangkit dan kembali cepat.""
Martin Tak Takut Marc Menyusul
Jarak 19 poin membuat Marc menjadi rival terdekat Martin. Namun, Martin justru tetap percaya diri.
""Saya pikir Marco dan Marc sama-sama merupakan kandidat juara bersama saya,"" ujarnya menganalisis persaingan dengan Bezzecchi dan Marquez.
""Saya merasa, meskipun masih dalam proses belajar, saya tetap memimpin. Jadi ini gila. Saya sangat senang. Dan saya pikir mulai sekarang saya bisa mempertahankan kepemimpinan ini. Bahkan jika Marc menyusul.""
Martin berharap pengalaman dari 14 balapan sebelumnya menjadi modal penting untuk menghadapi persaingan berikutnya. ""Saya pikir ada beberapa balapan yang sangat bagus untuk saya, dan saya berharap semua yang kami pelajari selama 14 balapan ini bisa membantu saya untuk bertarung."""
